Recipe,Amount,Ingredient,Type,Cook Time (minutes),Substitute,Website
Prosciutto Pasta Toss,1 Tbsp,Italian Seasoning,Seasoning,20,,https://www.tasteofhome.com/recipes/prosciutto-pasta-toss/
Prosciutto Pasta Toss,1 Tsp,Pepper,Seasoning,20,,https://www.tasteofhome.com/recipes/prosciutto-pasta-toss/
Prosciutto Pasta Toss,0.25 Cups,Olive Oil,Oil,20,,https://www.tasteofhome.com/recipes/prosciutto-pasta-toss/
Prosciutto Pasta Toss,0.5 lb,Deli Ham,Meat,20,,https://www.tasteofhome.com/recipes/prosciutto-pasta-toss/
Loaded Mexican Pizza,15 oz,Black Beans,Beans,30,,https://www.tasteofhome.com/recipes/loaded-mexican-pizza/
Loaded Mexican Pizza,1 Whole,Red Onion,Vegetable,30,,https://www.tasteofhome.com/recipes/loaded-mexican-pizza/
Loaded Mexican Pizza,1 Whole,Sweet Yellow Pepper,Vegetable,30,,https://www.tasteofhome.com/recipes/loaded-mexican-pizza/
Loaded Mexican Pizza,3 Tsp,Chili Powder,Seasoning,30,,https://www.tasteofhome.com/recipes/loaded-mexican-pizza/
Loaded Mexican Pizza,0.75 Tsp,Ground Cumin,Seasoning,30,,https://www.tasteofhome.com/recipes/loaded-mexican-pizza/
Loaded Mexican Pizza,1 Whole,Jalapeno Pepper,Vegetable,30,,https://www.tasteofhome.com/recipes/loaded-mexican-pizza/
Loaded Mexican Pizza,1 Clove,Minced Garlic,Seasoning,30,,https://www.tasteofhome.com/recipes/loaded-mexican-pizza/
Loaded Mexican Pizza,1 Whole,Pre-baked Pizza Crust,Flour,30,,https://www.tasteofhome.com/recipes/loaded-mexican-pizza/
Loaded Mexican Pizza,2 Cups,Spinach,Fresh Produce,30,,https://www.tasteofhome.com/recipes/loaded-mexican-pizza/
Loaded Mexican Pizza,2 Tbsp,Minced Cilantro,Fresh Produce,30,,https://www.tasteofhome.com/recipes/loaded-mexican-pizza/
Loaded Mexican Pizza,0.5 Cups,Shredded Cheddar Cheese,Cheese,30,,https://www.tasteofhome.com/recipes/loaded-mexican-pizza/
Loaded Mexican Pizza,0.5 Cups,Shredded Pepper Jack Cheese,Cheese,30,,https://www.tasteofhome.com/recipes/loaded-mexican-pizza/
Mostaccioli,1 lb,Penne,Noodle,45,,https://www.tasteofhome.com/recipes/mostaccioli/
Mostaccioli,1.5 lb,Bulk Italian Sausage,Meat,45,,https://www.tasteofhome.com/recipes/mostaccioli/
Mostaccioli,1 Whole,Egg,Eggs,45,,https://www.tasteofhome.com/recipes/mostaccioli/
Mostaccioli,15 oz,Ricotta,Cheese,45,Goat Cheese/Mozzarella,https://www.tasteofhome.com/recipes/mostaccioli/
Mostaccioli,2 Cups,Mozzarella,Cheese,45,,https://www.tasteofhome.com/recipes/mostaccioli/
Mostaccioli,0.5 Cups,Romano,Cheese,45,,https://www.tasteofhome.com/recipes/mostaccioli/
Tater Tot Casserole,1 lb,Ground Beef,Meat,45,,https://www.momontimeout.com/the-best-tater-tot-casserole/
Tater Tot Casserole,0.5 Whole,Onion,Vegetable,45,,https://www.momontimeout.com/the-best-tater-tot-casserole/
Tater Tot Casserole,2 Clove,Minced Garlic,Seasoning,45,,https://www.momontimeout.com/the-best-tater-tot-casserole/
Tater Tot Casserole,1 Tbsp,Worcestershire Sauce,Condiment,45,,https://www.momontimeout.com/the-best-tater-tot-casserole/
Tater Tot Casserole,15 oz,Green Beans,Vegetable,45,,https://www.momontimeout.com/the-best-tater-tot-casserole/
Tater Tot Casserole,10.75 oz,Cream of Mushroom,Condiment,45,,https://www.momontimeout.com/the-best-tater-tot-casserole/
Tater Tot Casserole,2 Cups,Shredded Cheddar Cheese,Cheese,45,,https://www.momontimeout.com/the-best-tater-tot-casserole/
Tater Tot Casserole,2 Cups,Frozen Tater Tots,Potato,45,,https://www.momontimeout.com/the-best-tater-tot-casserole/
One-Pot American Goulash,2 lb,Ground Beef,Meat,65,,https://insanelygoodrecipes.com/american-goulash/
One-Pot American Goulash,1 Whole,Yellow Onion,Vegetable,65,,https://insanelygoodrecipes.com/american-goulash/
One-Pot American Goulash,3 Clove,Minced Garlic,Seasoning,65,,https://insanelygoodrecipes.com/american-goulash/
One-Pot American Goulash,3 Cups,Beef Broth,Broth,65,,https://insanelygoodrecipes.com/american-goulash/
One-Pot American Goulash,30 oz,Tomato Sauce,Condiment,65,,https://insanelygoodrecipes.com/american-goulash/
One-Pot American Goulash,29 oz,Diced Tomatoes,Condiment,65,,https://insanelygoodrecipes.com/american-goulash/
One-Pot American Goulash,2 Tbsp,Italian Seasoning,Seasoning,65,,https://insanelygoodrecipes.com/american-goulash/
One-Pot American Goulash,2 Cups,Elbow Macaroni,Noodle,65,,https://insanelygoodrecipes.com/american-goulash/
One-Pot Pizza Pasta Bake,1 Tbsp,Olive Oil,Oil,30,,https://damndelicious.net/2014/08/16/one-pot-pizza-pasta-bake/
One-Pot Pizza Pasta Bake,8 oz,Bulk Italian Sausage,Meat,30,,https://damndelicious.net/2014/08/16/one-pot-pizza-pasta-bake/
One-Pot Pizza Pasta Bake,0.5 Cups,Pepperoni,Meat,30,,https://damndelicious.net/2014/08/16/one-pot-pizza-pasta-bake/
One-Pot Pizza Pasta Bake,15 oz,Tomato Sauce,Condiment,30,,https://damndelicious.net/2014/08/16/one-pot-pizza-pasta-bake/
One-Pot Pizza Pasta Bake,0.5 Tsp,Dried Oregano,Seasoning,30,,https://damndelicious.net/2014/08/16/one-pot-pizza-pasta-bake/
One-Pot Pizza Pasta Bake,0.5 Tsp,Dried Basil,Seasoning,30,,https://damndelicious.net/2014/08/16/one-pot-pizza-pasta-bake/
One-Pot Pizza Pasta Bake,0.25 Tsp,Garlic Powder,Seasoning,30,,https://damndelicious.net/2014/08/16/one-pot-pizza-pasta-bake/
One-Pot Pizza Pasta Bake,8 oz,Rotini Pasta,Noodle,30,,https://damndelicious.net/2014/08/16/one-pot-pizza-pasta-bake/
One-Pot Pizza Pasta Bake,1 Cups,Mozzarella,Cheese,30,,https://damndelicious.net/2014/08/16/one-pot-pizza-pasta-bake/
One-Pot Beef Stroganoff,2 Tbsp,Unsalted Butter,Butter,40,,https://damndelicious.net/2019/04/08/one-pot-beef-stroganoff/
One-Pot Beef Stroganoff,12 oz,Mushrooms,Vegetable,40,,https://damndelicious.net/2019/04/08/one-pot-beef-stroganoff/
One-Pot Beef Stroganoff,0.5 Whole,Sweet Onion,Vegetable,40,,https://damndelicious.net/2019/04/08/one-pot-beef-stroganoff/
One-Pot Beef Stroganoff,1 lb,Ground Beef,Meat,40,,https://damndelicious.net/2019/04/08/one-pot-beef-stroganoff/
One-Pot Beef Stroganoff,2 Clove,Minced Garlic,Seasoning,40,,https://damndelicious.net/2019/04/08/one-pot-beef-stroganoff/
One-Pot Beef Stroganoff,0.5 Tsp,Dried Thyme,Seasoning,40,,https://damndelicious.net/2019/04/08/one-pot-beef-stroganoff/
One-Pot Beef Stroganoff,3 Tbsp,Flour,Flour,40,,https://damndelicious.net/2019/04/08/one-pot-beef-stroganoff/
One-Pot Beef Stroganoff,0.25 Cups,Dry White Wine,Vinegar,40,,https://damndelicious.net/2019/04/08/one-pot-beef-stroganoff/
One-Pot Beef Stroganoff,4 Cups,Beef Stock,Broth,40,,https://damndelicious.net/2019/04/08/one-pot-beef-stroganoff/
One-Pot Beef Stroganoff,2 Tbsp,Worcestershire Sauce,Condiment,40,,https://damndelicious.net/2019/04/08/one-pot-beef-stroganoff/
One-Pot Beef Stroganoff,1 Tbsp,Dijon Mustard,Condiment,40,,https://damndelicious.net/2019/04/08/one-pot-beef-stroganoff/
One-Pot Beef Stroganoff,8 oz,Egg Noodles,Noodle,40,,https://damndelicious.net/2019/04/08/one-pot-beef-stroganoff/
One-Pot Beef Stroganoff,0.5 Cups,Sour Cream,Cream,40,,https://damndelicious.net/2019/04/08/one-pot-beef-stroganoff/
Chicken Parmesan,4 Whole,Chicken Breast/Tenderloin,Meat,45,,https://www.allrecipes.com/recipe/223042/chicken-parmesan/
Chicken Parmesan,2 Whole,Egg,Eggs,45,,https://www.allrecipes.com/recipe/223042/chicken-parmesan/
Chicken Parmesan,1 Cups,Panko Bread Crumbs,Seasoning,45,,https://www.allrecipes.com/recipe/223042/chicken-parmesan/
Chicken Parmesan,0.75 Cups,Grated Parmesan,Cheese,45,,https://www.allrecipes.com/recipe/223042/chicken-parmesan/
Chicken Parmesan,2 Tbsp,Flour,Flour,45,,https://www.allrecipes.com/recipe/223042/chicken-parmesan/
Chicken Parmesan,0.5 Cups,Olive Oil,Oil,45,,https://www.allrecipes.com/recipe/223042/chicken-parmesan/
Chicken Parmesan,0.5 Cups,Tomato Sauce,Condiment,45,,https://www.allrecipes.com/recipe/223042/chicken-parmesan/
Chicken Parmesan,0.25 Cups,Fresh Mozzarella,Cheese,45,,https://www.allrecipes.com/recipe/223042/chicken-parmesan/
Chicken Parmesan,0.5 Cups,Provalone,Cheese,45,,https://www.allrecipes.com/recipe/223042/chicken-parmesan/
Crack Chicken,2 Whole,Chicken Breast/Tenderloin,Meat,30,,https://www.saltandlavender.com/creamy-garlic-chicken/
Crack Chicken,2 Cups,Flour,Flour,30,,https://www.saltandlavender.com/creamy-garlic-chicken/
Crack Chicken,1 Tbsp,Olive Oil,Oil,30,,https://www.saltandlavender.com/creamy-garlic-chicken/
Crack Chicken,2 Tbsp,Unsalted Butter,Butter,30,,https://www.saltandlavender.com/creamy-garlic-chicken/
Crack Chicken,1 Head,Minced Garlic,Seasoning,30,,https://www.saltandlavender.com/creamy-garlic-chicken/
Crack Chicken,0.5 Cups,Chicken Stock,Broth,30,,https://www.saltandlavender.com/creamy-garlic-chicken/
Crack Chicken,0.5 Tsp,Lemon Juice,Condiment,30,,https://www.saltandlavender.com/creamy-garlic-chicken/
Crack Chicken,0.25 Tsp,Garlic Powder,Seasoning,30,,https://www.saltandlavender.com/creamy-garlic-chicken/
Crack Chicken,1 Cups,Heavy Cream,Cream,30,,https://www.saltandlavender.com/creamy-garlic-chicken/
Crack Pork,4 Whole,Pork Chops,Meat,30,,https://www.eatwell101.com/garlic-pork-chops-in-creamy-mushroom-sauce
Crack Pork,1 Tsp,Paprika,Seasoning,30,,https://www.eatwell101.com/garlic-pork-chops-in-creamy-mushroom-sauce
Crack Pork,1 Tsp,Garlic Powder,Seasoning,30,,https://www.eatwell101.com/garlic-pork-chops-in-creamy-mushroom-sauce
Crack Pork,2 Tbsp,Unsalted Butter,Butter,30,,https://www.eatwell101.com/garlic-pork-chops-in-creamy-mushroom-sauce
Crack Pork,2 Tbsp,Olive Oil,Oil,30,,https://www.eatwell101.com/garlic-pork-chops-in-creamy-mushroom-sauce
Crack Pork,1 Cups,Mushrooms,Vegetable,30,,https://www.eatwell101.com/garlic-pork-chops-in-creamy-mushroom-sauce
Crack Pork,4 Clove,Minced Garlic,Seasoning,30,,https://www.eatwell101.com/garlic-pork-chops-in-creamy-mushroom-sauce
Crack Pork,1 Tsp,Italian Seasoning,Seasoning,30,,https://www.eatwell101.com/garlic-pork-chops-in-creamy-mushroom-sauce
Crack Pork,1.5 Cups,Heavy Cream,Cream,30,,https://www.eatwell101.com/garlic-pork-chops-in-creamy-mushroom-sauce
Crack Pork,0.5 Cups,Chicken Stock,Broth,30,,https://www.eatwell101.com/garlic-pork-chops-in-creamy-mushroom-sauce
